taxa;domain;kingdom;phylum;class;order;family;genus;species;source;group;id_level
Bacteria;Bacteria;Bacteria;NA;NA;NA;NA;NA;NA;eDNA;bacteria;kingdom
Armatimonadetes;Bacteria;Bacteria;Armatimonadetes;NA;NA;NA;NA;NA;eDNA;bacteria;phylum
BRC1;Bacteria;Bacteria;BRC1;NA;NA;NA;NA;NA;eDNA;bacteria;phylum
Elusimicrobia;Bacteria;Bacteria;Elusimicrobia;NA;NA;NA;NA;NA;eDNA;bacteria;phylum
Firmicutes;Bacteria;Bacteria;Firmicutes;NA;NA;NA;NA;NA;eDNA;bacteria;phylum
Gemmatimonadetes;Bacteria;Bacteria;Gemmatimonadetes;NA;NA;NA;NA;NA;eDNA;bacteria;phylum
Latescibacteria;Bacteria;Bacteria;Latescibacteria;NA;NA;NA;NA;NA;eDNA;bacteria;phylum
LCP-89;Bacteria;Bacteria;LCP-89;NA;NA;NA;NA;NA;eDNA;bacteria;phylum
Lentisphaerae;Bacteria;Bacteria;Lentisphaerae;NA;NA;NA;NA;NA;eDNA;bacteria;phylum
Omnitrophicaeota;Bacteria;Bacteria;Omnitrophicaeota;NA;NA;NA;NA;NA;eDNA;bacteria;phylum
Patescibacteria;Bacteria;Bacteria;Patescibacteria;NA;NA;NA;NA;NA;eDNA;bacteria;phylum
Proteobacteria;Bacteria;Bacteria;Proteobacteria;NA;NA;NA;NA;NA;eDNA;bacteria;phylum
WOR-1;Bacteria;Bacteria;WOR-1;NA;NA;NA;NA;NA;eDNA;bacteria;phylum
WPS-2;Bacteria;Bacteria;WPS-2;NA;NA;NA;NA;NA;eDNA;bacteria;phylum
WS4;Bacteria;Bacteria;WS4;NA;NA;NA;NA;NA;eDNA;bacteria;phylum
ABY1;Bacteria;Bacteria;Patescibacteria;ABY1;NA;NA;NA;NA;eDNA;bacteria;class
Acidimicrobiia;Bacteria;Bacteria;Actinobacteria;Acidimicrobiia;NA;NA;NA;NA;eDNA;bacteria;class
Actinobacteria;Bacteria;Bacteria;Actinobacteria;Actinobacteria;NA;NA;NA;NA;eDNA;bacteria;class
Alphaproteobacteria;Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;NA;NA;NA;NA;eDNA;bacteria;class
Babeliae;Bacteria;Bacteria;Dependentiae;Babeliae;NA;NA;NA;NA;eDNA;bacteria;class
Bacteroidia;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;NA;NA;NA;NA;eDNA;bacteria;class
Berkelbacteria;Bacteria;Bacteria;Patescibacteria;Berkelbacteria;NA;NA;NA;NA;eDNA;bacteria;class
Blastocatellia (Subgroup 4);Bacteria;Bacteria;Acidobacteria;Blastocatellia (Subgroup 4);NA;NA;NA;NA;eDNA;bacteria;class
Candidatus Dojkabacteria;Bacteria;Bacteria;Patescibacteria;Candidatus Dojkabacteria;NA;NA;NA;NA;eDNA;bacteria;class
Clostridia;Bacteria;Bacteria;Firmicutes;Clostridia;NA;NA;NA;NA;eDNA;bacteria;class
CPR2;Bacteria;Bacteria;Patescibacteria;CPR2;NA;NA;NA;NA;eDNA;bacteria;class
Deltaproteobacteria;Bacteria;Bacteria;Proteobacteria;Deltaproteobacteria;NA;NA;NA;NA;eDNA;bacteria;class
Gammaproteobacteria;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA;NA;eDNA;bacteria;class
Gracilibacteria;Bacteria;Bacteria;Patescibacteria;Gracilibacteria;NA;NA;NA;NA;eDNA;bacteria;class
KD4-96;Bacteria;Bacteria;Chloroflexi;KD4-96;NA;NA;NA;NA;eDNA;bacteria;class
Kiritimatiellae;Bacteria;Bacteria;Kiritimatiellaeota;Kiritimatiellae;NA;NA;NA;NA;eDNA;bacteria;class
Lineage IIa;Bacteria;Bacteria;Elusimicrobia;Lineage IIa;NA;NA;NA;NA;eDNA;bacteria;class
Lineage IIc;Bacteria;Bacteria;Elusimicrobia;Lineage IIc;NA;NA;NA;NA;eDNA;bacteria;class
Melainabacteria;Bacteria;Bacteria;Cyanobacteria;Melainabacteria;NA;NA;NA;NA;eDNA;bacteria;class
Microgenomatia;Bacteria;Bacteria;Patescibacteria;Microgenomatia;NA;NA;NA;NA;eDNA;bacteria;class
Oxyphotobacteria;Bacteria;Bacteria;Cyanobacteria;Oxyphotobacteria;NA;NA;NA;NA;eDNA;bacteria;class
Parcubacteria;Bacteria;Bacteria;Patescibacteria;Parcubacteria;NA;NA;NA;NA;eDNA;bacteria;class
Planctomycetacia;Bacteria;Bacteria;Planctomycetes;Planctomycetacia;NA;NA;NA;NA;eDNA;bacteria;class
Rs-M47;Bacteria;Bacteria;Elusimicrobia;Rs-M47;NA;NA;NA;NA;eDNA;bacteria;class
Subgroup 17;Bacteria;Bacteria;Acidobacteria;Subgroup 17;NA;NA;NA;NA;eDNA;bacteria;class
Subgroup 26;Bacteria;Bacteria;Acidobacteria;Subgroup 26;NA;NA;NA;NA;eDNA;bacteria;class
Subgroup 6;Bacteria;Bacteria;Acidobacteria;Subgroup 6;NA;NA;NA;NA;eDNA;bacteria;class
V2072-189E03;Bacteria;Bacteria;Spirochaetes;V2072-189E03;NA;NA;NA;NA;eDNA;bacteria;class
vadinHA49;Bacteria;Bacteria;Planctomycetes;vadinHA49;NA;NA;NA;NA;eDNA;bacteria;class
Verrucomicrobiae;Bacteria;Bacteria;Verrucomicrobia;Verrucomicrobiae;NA;NA;NA;NA;eDNA;bacteria;class
WWE3;Bacteria;Bacteria;Patescibacteria;WWE3;NA;NA;NA;NA;eDNA;bacteria;class
211ds20;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;211ds20;NA;NA;NA;eDNA;bacteria;order
32-520;Bacteria;Bacteria;Patescibacteria;Parcubacteria;32-520;NA;NA;NA;eDNA;bacteria;order
Acetobacterales;Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;NA;NA;NA;eDNA;bacteria;order
Actinomycetales;Bacteria;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;NA;NA;NA;eDNA;bacteria;order
Aminicenantales;Bacteria;Bacteria;Acidobacteria;Aminicenantia;Aminicenantales;NA;NA;NA;eDNA;bacteria;order
Armatimonadales;Bacteria;Bacteria;Armatimonadetes;Armatimonadia;Armatimonadales;NA;NA;NA;eDNA;bacteria;order
Babeliales;Bacteria;Bacteria;Dependentiae;Babeliae;Babeliales;NA;NA;NA;eDNA;bacteria;order
Bacillales;Bacteria;Bacteria;Firmicutes;Bacilli;Bacillales;NA;NA;NA;eDNA;bacteria;order
Bacteroidales;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA;NA;NA;eDNA;bacteria;order
Bacteroidetes VC2.1 Bac22;Bacteria;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidetes VC2.1 Bac22;NA;NA;NA;eDNA;bacteria;order
Betaproteobacteriales;Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;NA;NA;NA;eDNA;bacteria;order
Caenarcaniphilales;Bacteria;Bacteria;Cyanobacteria;Melainabacteria;Caenarcaniphilales;NA;NA;NA;eDNA;bacteria;order
Campylobacterales;Bacteria;Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;NA;NA;NA;eDNA;bacteria;order
Candidatus Abawacabacteria;Bacteria;Bacteria;Patescibacteria;Gracilibacteria;Candidatus Abawacabacteria;NA;NA;NA;eDNA;bacteria;order
Candidatus Adlerbacteria;Bacteria;Bacteria;Patescibacteria;Parcubacteria;Candidatus Adlerbacteria;NA;NA;NA;eDNA;bacteria;order
Candidatus Amesbacteria;Bacteria;Bacteria;Patescibacteria;Microgenomatia;Candidatus Amesbacteria;NA;NA;NA;eDNA;bacteria;order
Candidatus Beckwithbacteria;Bacteria;Bacteria;Patescibacteria;Microgenomatia;Candidatus Beckwithbacteria;NA;NA;NA;eDNA;bacteria;order
Candidatus Buchananbacteria;Bacteria;Bacteria;Patescibacteria;ABY1;Candidatus Buchananbacteria;NA;NA;NA;eDNA;bacteria;order
Candidatus Campbellbacteria;Bacteria;Bacteria;Patescibacteria;Parcubacteria;Candidatus Campbellbacteria;NA;NA;NA;eDNA;bacteria;order
Candidatus Chisholmbacteria;Bacteria;Bacteria;Patescibacteria;Microgenomatia;Candidatus Chisholmbacteria;NA;NA;NA;eDNA;bacteria;order
Candidatus Collierbacteria;Bacteria;Bacteria;Patescibacteria;Microgenomatia;Candidatus Collierbacteria;NA;NA;NA;eDNA;bacteria;order
Candidatus Colwellbacteria;Bacteria;Bacteria;Patescibacteria;Parcubacteria;Candidatus Colwellbacteria;NA;NA;NA;eDNA;bacteria;order
Candidatus Daviesbacteria;Bacteria;Bacteria;Patescibacteria;Microgenomatia;Candidatus Daviesbacteria;NA;NA;NA;eDNA;bacteria;order
Candidatus Falkowbacteria;Bacteria;Bacteria;Patescibacteria;ABY1;Candidatus Falkowbacteria;NA;NA;NA;eDNA;bacteria;order
Candidatus Gottesmanbacteria;Bacteria;Bacteria;Patescibacteria;Microgenomatia;Candidatus Gottesmanbacteria;NA;NA;NA;eDNA;bacteria;order
Candidatus Jorgensenbacteria;Bacteria;Bacteria;Patescibacteria;Parcubacteria;Candidatus Jorgensenbacteria;NA;NA;NA;eDNA;bacteria;order
Candidatus Kaiserbacteria;Bacteria;Bacteria;Patescibacteria;Parcubacteria;Candidatus Kaiserbacteria;NA;NA;NA;eDNA;bacteria;order
Candidatus Kerfeldbacteria;Bacteria;Bacteria;Patescibacteria;ABY1;Candidatus Kerfeldbacteria;NA;NA;NA;eDNA;bacteria;order
Candidatus Komeilibacteria;Bacteria;Bacteria;Patescibacteria;ABY1;Candidatus Komeilibacteria;NA;NA;NA;eDNA;bacteria;order
Candidatus Kuenenbacteria;Bacteria;Bacteria;Patescibacteria;ABY1;Candidatus Kuenenbacteria;NA;NA;NA;eDNA;bacteria;order
Candidatus Levybacteria;Bacteria;Bacteria;Patescibacteria;Microgenomatia;Candidatus Levybacteria;NA;NA;NA;eDNA;bacteria;order
Candidatus Magasanikbacteria;Bacteria;Bacteria;Patescibacteria;ABY1;Candidatus Magasanikbacteria;NA;NA;NA;eDNA;bacteria;order
Candidatus Moranbacteria;Bacteria;Bacteria;Patescibacteria;Parcubacteria;Candidatus Moranbacteria;NA;NA;NA;eDNA;bacteria;order
Candidatus Nomurabacteria;Bacteria;Bacteria;Patescibacteria;Parcubacteria;Candidatus Nomurabacteria;NA;NA;NA;eDNA;bacteria;order
Candidatus Pacebacteria;Bacteria;Bacteria;Patescibacteria;Microgenomatia;Candidatus Pacebacteria;NA;NA;NA;eDNA;bacteria;order
Candidatus Peregrinibacteria;Bacteria;Bacteria;Patescibacteria;Gracilibacteria;Candidatus Peregrinibacteria;NA;NA;NA;eDNA;bacteria;order
Candidatus Peribacteria;Bacteria;Bacteria;Patescibacteria;Gracilibacteria;Candidatus Peribacteria;NA;NA;NA;eDNA;bacteria;order
Candidatus Roizmanbacteria;Bacteria;Bacteria;Patescibacteria;Microgenomatia;Candidatus Roizmanbacteria;NA;NA;NA;eDNA;bacteria;order
