"model_name","model_type","scale","group","year","predictor","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","sig"
"lm_alpha_bact_2016_tmean","lm","alpha","bact","2016","tmean",0.01,0,23.29,0.53,0.47,1,-464.8,935.61,943.48,54225.51,100,102,"ns"
"lm_alpha_bact_2016_tsd","lm","alpha","bact","2016","tsd",0.01,0,23.23,1,0.32,1,-464.57,935.13,943.01,53972.13,100,102,"ns"
"lm_alpha_bact_2017_tmean","lm","alpha","bact","2017","tmean",0.02,0.01,36.93,1.78,0.19,1,-511.85,1029.7,1037.58,136404.14,100,102,"ns"
"lm_alpha_bact_2017_tsd","lm","alpha","bact","2017","tsd",0.13,0.12,34.78,14.75,0,1,-505.73,1017.46,1025.34,120981.03,100,102,"***"
"lm_alpha_bact_2018_tmean","lm","alpha","bact","2018","tmean",0.01,0,34.77,0.71,0.4,1,-505.69,1017.38,1025.25,120881.7,100,102,"ns"
"lm_alpha_bact_2018_tsd","lm","alpha","bact","2018","tsd",0,-0.01,34.89,0,0.99,1,-506.05,1018.1,1025.97,121734.58,100,102,"ns"
"lm_alpha_bact_mean_tmean","lm","alpha","bact","mean","tmean",0,-0.01,21.21,0.49,0.48,1,-455.27,916.55,924.42,44983.13,100,102,"ns"
"lm_alpha_bact_mean_tsd","lm","alpha","bact","mean","tsd",0.05,0.04,20.69,5.55,0.02,1,-452.77,911.54,919.41,42827.59,100,102,"*"
"lm_alpha_macro_2016_tmean","lm","alpha","macro","2016","tmean",0.02,0.01,3.15,2.12,0.15,1,-260.67,527.33,535.21,990.48,100,102,"ns"
"lm_alpha_macro_2016_tsd","lm","alpha","macro","2016","tsd",0,-0.01,3.18,0.13,0.71,1,-261.67,529.33,537.21,1010.1,100,102,"ns"
"lm_alpha_macro_2017_tmean","lm","alpha","macro","2017","tmean",0,-0.01,3.4,0.02,0.89,1,-268.59,543.18,551.05,1156.96,100,102,"ns"
"lm_alpha_macro_2017_tsd","lm","alpha","macro","2017","tsd",0.03,0.02,3.35,3.29,0.07,1,-266.95,539.9,547.77,1120.34,100,102,"ns"
"lm_alpha_macro_2018_tmean","lm","alpha","macro","2018","tmean",0.03,0.02,3.6,2.79,0.1,1,-274.34,554.69,562.56,1295.16,100,102,"ns"
"lm_alpha_macro_2018_tsd","lm","alpha","macro","2018","tsd",0.28,0.27,3.09,39.24,0,1,-258.87,523.73,531.6,956.12,100,102,"***"
"lm_alpha_macro_mean_tmean","lm","alpha","macro","mean","tmean",0.01,0,2.22,0.64,0.43,1,-225.28,456.57,464.44,494.94,100,102,"ns"
"lm_alpha_macro_mean_tsd","lm","alpha","macro","mean","tsd",0.17,0.16,2.04,19.84,0,1,-216.38,438.76,446.64,415.66,100,102,"***"
"lm_alpha_phyto_2016_tmean","lm","alpha","phyto","2016","tmean",0.02,0.01,7.25,2.16,0.14,1,-345.79,697.58,705.45,5256.77,100,102,"ns"
"lm_alpha_phyto_2016_tsd","lm","alpha","phyto","2016","tsd",0.1,0.09,6.95,11.15,0,1,-341.49,688.98,696.85,4831.59,100,102,"**"
"lm_alpha_phyto_2017_tmean","lm","alpha","phyto","2017","tmean",0,-0.01,6.81,0.46,0.5,1,-339.45,684.89,692.76,4641.91,100,102,"ns"
"lm_alpha_phyto_2017_tsd","lm","alpha","phyto","2017","tsd",0.02,0.01,6.77,1.81,0.18,1,-338.76,683.53,691.4,4580.37,100,102,"ns"
"lm_alpha_phyto_2018_tmean","lm","alpha","phyto","2018","tmean",0,-0.01,7.28,0.05,0.82,1,-346.23,698.46,706.33,5302.18,100,102,"ns"
"lm_alpha_phyto_2018_tsd","lm","alpha","phyto","2018","tsd",0.18,0.17,6.61,21.57,0,1,-336.29,678.59,686.46,4363.73,100,102,"***"
"lm_alpha_phyto_mean_tmean","lm","alpha","phyto","mean","tmean",0.02,0.01,5.41,2.25,0.14,1,-315.86,637.73,645.6,2923.37,100,102,"ns"
"lm_alpha_phyto_mean_tsd","lm","alpha","phyto","mean","tsd",0.17,0.16,4.99,20.11,0,1,-307.65,621.31,629.18,2488.68,100,102,"***"
"lm_alpha_wc_2016_tmean","lm","alpha","wc","2016","tmean",0.1,0.09,25.71,10.72,0,1,-474.92,955.83,963.71,66117.19,100,102,"**"
"lm_alpha_wc_2016_tsd","lm","alpha","wc","2016","tsd",0.07,0.06,26.05,7.87,0.01,1,-476.25,958.49,966.37,67865.19,100,102,"**"
"lm_alpha_wc_2017_tmean","lm","alpha","wc","2017","tmean",0.02,0.01,39.5,1.87,0.18,1,-518.69,1043.38,1051.26,155986.55,100,102,"ns"
"lm_alpha_wc_2017_tsd","lm","alpha","wc","2017","tsd",0.19,0.18,35.91,23.19,0,1,-509,1023.99,1031.87,128982.19,100,102,"***"
"lm_alpha_wc_2018_tmean","lm","alpha","wc","2018","tmean",0.04,0.03,37.03,3.92,0.05,1,-512.12,1030.23,1038.11,137119.01,100,102,"ns"
"lm_alpha_wc_2018_tsd","lm","alpha","wc","2018","tsd",0.03,0.02,37.2,2.99,0.09,1,-512.58,1031.15,1039.03,138359.62,100,102,"ns"
"lm_alpha_wc_mean_tmean","lm","alpha","wc","mean","tmean",0,-0.01,23.68,0.18,0.68,1,-466.53,939.05,946.93,56087.57,100,102,"ns"
"lm_alpha_wc_mean_tsd","lm","alpha","wc","mean","tsd",0.21,0.2,21.05,26.84,0,1,-454.49,914.98,922.85,44295.75,100,102,"***"
"lm_alpha_zoo_2016_tmean","lm","alpha","zoo","2016","tmean",0,-0.01,3.34,0.03,0.87,1,-266.64,539.28,547.15,1113.53,100,102,"ns"
"lm_alpha_zoo_2016_tsd","lm","alpha","zoo","2016","tsd",0.02,0.01,3.3,2.16,0.14,1,-265.56,537.12,545,1090.27,100,102,"ns"
"lm_alpha_zoo_2017_tmean","lm","alpha","zoo","2017","tmean",0,-0.01,4.15,0,0.97,1,-288.91,583.83,591.7,1723.46,100,102,"ns"
"lm_alpha_zoo_2017_tsd","lm","alpha","zoo","2017","tsd",0.22,0.22,3.66,28.98,0,1,-275.94,557.87,565.75,1336.24,100,102,"***"
"lm_alpha_zoo_2018_tmean","lm","alpha","zoo","2018","tmean",0.02,0.01,4.12,2.46,0.12,1,-288.18,582.37,590.24,1698.97,100,102,"ns"
"lm_alpha_zoo_2018_tsd","lm","alpha","zoo","2018","tsd",0.31,0.3,3.47,44.61,0,1,-270.61,547.23,555.1,1203.79,100,102,"***"
"lm_alpha_zoo_mean_tmean","lm","alpha","zoo","mean","tmean",0,-0.01,3.05,0.17,0.68,1,-257.51,521.03,528.9,931.12,100,102,"ns"
"lm_alpha_zoo_mean_tsd","lm","alpha","zoo","mean","tsd",0.38,0.37,2.41,61.12,0,1,-233.27,472.54,480.42,578.86,100,102,"***"
"lm_beta_bact_2016_tmean","lm","beta","bact","2016","tmean",0.04,0.03,1.54,4.42,0.04,1,-187.74,381.49,389.36,237.06,100,102,"*"
"lm_beta_bact_2016_tsd","lm","beta","bact","2016","tsd",0,-0.01,1.57,0.22,0.64,1,-189.84,385.68,393.55,247.01,100,102,"ns"
"lm_beta_bact_2017_tmean","lm","beta","bact","2017","tmean",0.22,0.22,4.29,29.02,0,1,-292.34,590.69,598.56,1843.28,100,102,"***"
"lm_beta_bact_2017_tsd","lm","beta","bact","2017","tsd",0.03,0.02,4.8,3.19,0.08,1,-303.74,613.48,621.35,2304.86,100,102,"ns"
"lm_beta_bact_2018_tmean","lm","beta","bact","2018","tmean",0.02,0.01,2.88,2.07,0.15,1,-251.62,509.23,517.11,829.43,100,102,"ns"
"lm_beta_bact_2018_tsd","lm","beta","bact","2018","tsd",0.03,0.03,2.86,3.62,0.06,1,-250.85,507.69,515.57,817.03,100,102,"ns"
"lm_beta_bact_mean_tmean","lm","beta","bact","mean","tmean",0.06,0.05,1.14,5.82,0.02,1,-157.32,320.63,328.51,130.55,100,102,"*"
"lm_beta_bact_mean_tsd","lm","beta","bact","mean","tsd",0,-0.01,1.17,0.47,0.49,1,-159.96,325.92,333.8,137.5,100,102,"ns"
"lm_beta_macro_2016_tmean","lm","beta","macro","2016","tmean",0.04,0.03,2.81,3.77,0.06,1,-248.99,503.99,511.86,787.87,100,102,"ns"
"lm_beta_macro_2016_tsd","lm","beta","macro","2016","tsd",0.05,0.04,2.79,5.33,0.02,1,-248.23,502.47,510.34,776.2,100,102,"*"
"lm_beta_macro_2017_tmean","lm","beta","macro","2017","tmean",0,-0.01,4.73,0,0.97,1,-302.31,610.62,618.5,2241.2,100,102,"ns"
"lm_beta_macro_2017_tsd","lm","beta","macro","2017","tsd",0.01,0,4.71,1.13,0.29,1,-301.74,609.47,617.35,2216.12,100,102,"ns"
"lm_beta_macro_2018_tmean","lm","beta","macro","2018","tmean",0.02,0.01,8.14,2.23,0.14,1,-357.64,721.29,729.16,6632.51,100,102,"ns"
"lm_beta_macro_2018_tsd","lm","beta","macro","2018","tsd",0.07,0.06,7.93,7.7,0.01,1,-354.99,715.98,723.85,6295.99,100,102,"**"
"lm_beta_macro_mean_tmean","lm","beta","macro","mean","tmean",0.01,0,2.02,1.37,0.24,1,-215.5,437.01,444.88,408.57,100,102,"ns"
