"model_name","model_type","scale","group","year","predictor","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","sig"
"qd_alpha_bact_2016_tmean","qd","alpha","bact","2016","tmean",0.01,-0.01,23.4,0.27,0.76,2,-464.79,937.59,948.09,54213.17,99,102,"ns"
"qd_alpha_bact_2016_tsd","qd","alpha","bact","2016","tsd",0.01,-0.01,23.35,0.5,0.61,2,-464.56,937.13,947.63,53971.03,99,102,"ns"
"qd_alpha_bact_2017_tmean","qd","alpha","bact","2017","tmean",0.04,0.02,36.71,2.02,0.14,2,-510.71,1029.41,1039.91,133380.63,99,102,"ns"
"qd_alpha_bact_2017_tsd","qd","alpha","bact","2017","tsd",0.18,0.16,33.88,10.96,0,2,-502.55,1013.1,1023.6,113661.48,99,102,"***"
"qd_alpha_bact_2018_tmean","qd","alpha","bact","2018","tmean",0.01,-0.01,34.91,0.46,0.63,2,-505.58,1019.16,1029.66,120620.61,99,102,"ns"
"qd_alpha_bact_2018_tsd","qd","alpha","bact","2018","tsd",0.03,0.01,34.56,1.45,0.24,2,-504.58,1017.16,1027.66,118277.55,99,102,"ns"
"qd_alpha_bact_mean_tmean","qd","alpha","bact","mean","tmean",0.01,-0.01,21.25,0.57,0.57,2,-454.94,917.88,928.38,44688.4,99,102,"ns"
"qd_alpha_bact_mean_tsd","qd","alpha","bact","mean","tsd",0.05,0.03,20.8,2.75,0.07,2,-452.77,913.54,924.04,42826.77,99,102,"ns"
"qd_alpha_macro_2016_tmean","qd","alpha","macro","2016","tmean",0.02,0,3.16,1.11,0.33,2,-260.6,529.21,539.71,989.27,99,102,"ns"
"qd_alpha_macro_2016_tsd","qd","alpha","macro","2016","tsd",0,-0.02,3.19,0.17,0.84,2,-261.56,531.11,541.61,1007.94,99,102,"ns"
"qd_alpha_macro_2017_tmean","qd","alpha","macro","2017","tmean",0.01,-0.01,3.4,0.46,0.63,2,-268.13,544.26,554.76,1146.6,99,102,"ns"
"qd_alpha_macro_2017_tsd","qd","alpha","macro","2017","tsd",0.09,0.07,3.26,4.91,0.01,2,-263.78,535.56,546.06,1052.82,99,102,"**"
"qd_alpha_macro_2018_tmean","qd","alpha","macro","2018","tmean",0.03,0.01,3.62,1.4,0.25,2,-274.33,556.65,567.15,1294.7,99,102,"ns"
"qd_alpha_macro_2018_tsd","qd","alpha","macro","2018","tsd",0.29,0.28,3.09,20.35,0,2,-258.18,524.36,534.86,943.34,99,102,"***"
"qd_alpha_macro_mean_tmean","qd","alpha","macro","mean","tmean",0.02,0,2.22,1.19,0.31,2,-224.39,456.79,467.29,486.37,99,102,"ns"
"qd_alpha_macro_mean_tsd","qd","alpha","macro","mean","tsd",0.18,0.16,2.04,10.53,0,2,-215.77,439.54,450.04,410.71,99,102,"***"
"qd_alpha_phyto_2016_tmean","qd","alpha","phyto","2016","tmean",0.02,0,7.29,1.08,0.34,2,-345.78,699.55,710.05,5255.51,99,102,"ns"
"qd_alpha_phyto_2016_tsd","qd","alpha","phyto","2016","tsd",0.1,0.09,6.97,5.74,0,2,-341.29,690.57,701.07,4812.65,99,102,"**"
"qd_alpha_phyto_2017_tmean","qd","alpha","phyto","2017","tmean",0.01,-0.01,6.81,0.73,0.48,2,-338.93,685.86,696.36,4595.36,99,102,"ns"
"qd_alpha_phyto_2017_tsd","qd","alpha","phyto","2017","tsd",0.26,0.25,5.89,17.81,0,2,-324.01,656.01,666.51,3429.5,99,102,"***"
"qd_alpha_phyto_2018_tmean","qd","alpha","phyto","2018","tmean",0.04,0.02,7.18,1.96,0.15,2,-344.28,696.55,707.05,5103.05,99,102,"ns"
"qd_alpha_phyto_2018_tsd","qd","alpha","phyto","2018","tsd",0.18,0.17,6.62,11.03,0,2,-335.99,679.99,690.49,4338.23,99,102,"***"
"qd_alpha_phyto_mean_tmean","qd","alpha","phyto","mean","tmean",0.06,0.04,5.34,2.93,0.06,2,-314.06,636.13,646.63,2822.05,99,102,"ns"
"qd_alpha_phyto_mean_tsd","qd","alpha","phyto","mean","tsd",0.18,0.16,4.98,10.85,0,2,-306.89,621.79,632.29,2451.92,99,102,"***"
"qd_alpha_wc_2016_tmean","qd","alpha","wc","2016","tmean",0.1,0.09,25.74,5.73,0,2,-474.53,957.05,967.55,65612.9,99,102,"**"
