"group","scale","predictor","year","AIC_linear","BIC_linear","sig_linear","AIC_quad","BIC_quad","sig_quad","delta_AIC","delta_BIC","model_decision"
"bact","alpha","tmean","2016",935.61,943.48,"ns",937.59,948.09,"ns",-1.98,-4.6,"none"
"bact","alpha","tmean","2017",1029.7,1037.58,"ns",1029.41,1039.91,"ns",0.29,-2.34,"none"
"bact","alpha","tmean","2018",1017.38,1025.25,"ns",1019.16,1029.66,"ns",-1.78,-4.4,"none"
"bact","alpha","tmean","mean",916.96,924.84,"ns",915.89,926.39,"ns",1.07,-1.56,"none"
"bact","alpha","tsd","2016",935.13,943.01,"ns",937.13,947.63,"ns",-2,-4.62,"none"
"bact","alpha","tsd","2017",1017.46,1025.34,"***",1013.1,1023.6,"***",4.36,1.74,"quadratic"
"bact","alpha","tsd","2018",1018.1,1025.97,"ns",1017.16,1027.66,"ns",0.94,-1.69,"none"
"bact","alpha","tsd","mean",911.39,919.27,"*",913.38,923.88,"ns",-1.99,-4.62,"linear"
"bact","beta","tmean","2016",298.83,306.71,"*",284.66,295.16,"***",14.17,11.55,"quadratic"
"bact","beta","tmean","2017",521.07,528.95,"***",505.35,515.85,"***",15.72,13.1,"quadratic"
"bact","beta","tmean","2018",440.14,448.01,"ns",442.14,452.64,"ns",-2,-4.62,"none"
"bact","beta","tmean","mean",253.3,261.18,"ns",254.82,265.32,"ns",-1.52,-4.14,"none"
"bact","beta","tsd","2016",304.63,312.51,"ns",305.97,316.47,"ns",-1.34,-3.97,"none"
"bact","beta","tsd","2017",542.86,550.74,"ns",542.83,553.33,"ns",0.03,-2.59,"none"
"bact","beta","tsd","2018",440.01,447.88,"ns",441.67,452.17,"ns",-1.66,-4.29,"none"
"bact","beta","tsd","mean",255.99,263.86,"ns",250.96,261.46,"*",5.03,2.41,"quadratic"
"bact","gamma","tmean","2016",1069.17,1077.04,"***",987.91,998.41,"***",81.26,78.63,"quadratic"
"bact","gamma","tmean","2017",1098.49,1106.36,"**",1077.44,1087.94,"***",21.05,18.42,"quadratic"
"bact","gamma","tmean","2018",905.03,912.91,"***",906.27,916.77,"***",-1.24,-3.86,"linear"
"bact","gamma","tmean","mean",1016.6,1024.47,"***",978.89,989.39,"***",37.71,35.08,"quadratic"
"bact","gamma","tsd","2016",1070.59,1078.47,"**",1069.26,1079.76,"**",1.33,-1.29,"tie"
"bact","gamma","tsd","2017",985.39,993.27,"***",561.8,572.3,"***",423.59,420.96,"quadratic"
"bact","gamma","tsd","2018",908.3,916.17,"***",905.77,916.27,"***",2.53,-0.09,"quadratic"
"bact","gamma","tsd","mean",980.76,988.63,"***",952.85,963.35,"***",27.91,25.28,"quadratic"
"macro","alpha","tmean","2016",527.54,535.41,"ns",529.46,539.96,"ns",-1.92,-4.55,"none"
"macro","alpha","tmean","2017",549.54,557.41,"ns",550.63,561.13,"ns",-1.09,-3.71,"none"
"macro","alpha","tmean","2018",562.77,570.65,"ns",564.56,575.06,"ns",-1.79,-4.42,"none"
"macro","alpha","tmean","mean",465.99,473.87,"ns",467.14,477.64,"ns",-1.15,-3.77,"none"
"macro","alpha","tsd","2016",529.1,536.98,"ns",531,541.5,"ns",-1.9,-4.52,"none"
"macro","alpha","tsd","2017",545.76,553.64,"ns",540.61,551.11,"**",5.15,2.52,"quadratic"
"macro","alpha","tsd","2018",527.91,535.78,"***",529.35,539.85,"***",-1.44,-4.07,"linear"
"macro","alpha","tsd","mean",444.92,452.8,"***",445.48,455.98,"***",-0.56,-3.18,"linear"
"macro","beta","tmean","2016",407.02,414.9,"*",401.49,411.99,"***",5.53,2.9,"quadratic"
"macro","beta","tmean","2017",479.78,487.65,"ns",481.66,492.16,"ns",-1.88,-4.51,"none"
"macro","beta","tmean","2018",464.68,472.55,"ns",466.6,477.1,"ns",-1.92,-4.55,"none"
"macro","beta","tmean","mean",309.23,317.11,"*",309.22,319.72,"*",0.01,-2.61,"linear"
"macro","beta","tsd","2016",412.63,420.51,"ns",413.45,423.95,"ns",-0.82,-3.45,"none"
"macro","beta","tsd","2017",475.05,482.93,"*",468.99,479.49,"**",6.06,3.44,"quadratic"
"macro","beta","tsd","2018",465.55,473.42,"ns",467.01,477.51,"ns",-1.46,-4.09,"none"
"macro","beta","tsd","mean",306.37,314.24,"**",307.89,318.39,"*",-1.52,-4.14,"linear"
